View Detail,Federal Fiscal Year,Region,State Code,NEP Name,Project Name,Project Description,Habitat Description,Habitat Type,Acres,Miles,Feet,Restoration Technique,Donated Land,Data Unavailable,EPA Section 320,Total Project Cost,Project Benefits,Activity Name,Lead Implementer ,Partners,Latitude,Longitude,Main Funding Source,Site Owner,Last Updated Date,NEP Comments,HQ Comments,HQ Status,Region Status,Author,Submitter Email,,PrimaryHabitat
22571,2023,Region 4,FL,Tampa Bay Estuary Program,Gopher Tortoise Habitat Restoration,Project included removal of invasive plants and planting of native aquatic vegetation on 48 acres in the City of St. Petersburg.,Sand scrub habitat with Gopher Tortoise population,Forest/Woodland,48,,,Invasives Control/Removal - Vegetation,,,0,4000,Protect/improve/provide habitat for other wildlife,Maintenance,City of St. Petersburg,,27.72948,-82.65533,Florida Fish and Wildlife Conservation Commission,City of St. Petersburg,04-OCT-23 12.22.00.000000000 PM -04:00,,,APPROVED,APPROVED,XKWALI01,kfwalia@tbep.org,,Uplands (Non-coastal)
22542,2023,Region 4,FL,Tampa Bay Estuary Program,RP2023W1,Prescribed Fire of 54 acres of mesic flatwoods in Rock Ponds restoration area.,Mesic flatwoods in Rock Ponds restoration area,Forest/Woodland,54,,,Prescribed Burn,,,0,2000,Protect/improve/provide habitat for other wildlife,Maintenance,Southwest Florida Water Management District,,27.648,-82.5501,Southwest Florida Water Management District,Southwest Florida Water Management District,03-OCT-23 04.28.00.000000000 PM -04:00,,,APPROVED,APPROVED,XKWALI01,kfwalia@tbep.org,,Uplands (Non-coastal)
22510,2023,Region 4,FL,Tampa Bay Estuary Program,UH2023S6,Roller chopping followed by prescribed fire in 461 acres of mesic flatwoods in the Upper Hillsborough Wildlife Management Area,Mesic flatwoods in the Upper Hillsborough Wildlife Management Area,Forest/Woodland,461,,,Prescribed Burn,,,0,30000,Protect/improve/provide habitat for other wildlife,Maintenance,Southwest Florida Water Management District,,28.17809,-82.09961,Southwest Florida Water Management District,Southwest Florida Water Management District,03-OCT-23 04.29.00.000000000 PM -04:00,,,APPROVED,APPROVED,XKWALI01,kfwalia@tbep.org,,Uplands (Non-coastal)
22567,2023,Region 4,FL,Tampa Bay Estuary Program,Lassing Park Living Shoreline Project,"Tampa Bay Watch, in partnership with The City of St Petersburg, is proposing a living shoreline project that includes the creation of oyster reefs and the installation of coastal wetland plants along the northeastern shoreline of Lassing Park.  The proposed project has been designed to help stabilize approximately 700’ of severely eroding shoreline, provide hard bottom habitats for fish and wildlife resources and promote water quality improvements in the Tampa Bay ecosystem.",Decrease/mitigate shoreline erosion.  Increase available oyster habitat,Estuarine Shoreline,0.2,,,Shoreline Stabilization/Enhancement,,,0,107000,Erosion control,Restoration,Tampa Bay Watch,,27.75526,-82.63023,City of St. Petersburg/Hough Family Foundation,City of St. Petersburg,04-OCT-23 08.35.00.000000000 AM -04:00,,,APPROVED,APPROVED,XKWALI01,kfwalia@tbep.org,,Oyster Bars
22569,2023,Region 4,FL,Tampa Bay Estuary Program,Campground Wildflower Meadow,"Introduction of native wildflowers near the campground at Boyd Hill Nature Preserve, restoration effort for wildlife habitat on one acre in City of St. Petersburg.",Large disturbed meadow area adjacent to the campground at Boyd Hill Nature Preserve,Field/Meadow,1,,,Planting,,,0,1000,Protect/improve/provide habitat for other wildlife,Restoration,City of St. Petersburg,,27.74126,-82.66816,City of St. Petersburg,City of St. Petersburg,04-OCT-23 09.39.00.000000000 AM -04:00,,,APPROVED,APPROVED,XKWALI01,kfwalia@tbep.org,,Uplands (Non-coastal)
22570,2023,Region 4,FL,Tampa Bay Estuary Program,Hammock Hall Pond Restoration,Removal of invasive plants and planting of native aquatic vegetation. This planting site was a partnership with the City of St. Petersburg. Student volunteers planted 550 native emergent plants that were harvested from their on-campus school wetland nursery along the shoreline of a freshwater pond.,Small pond within campground,Lake/Pond,,,40,Planting,,,0,1500,Protect/improve/provide habitat for other wildlife,Restoration,City of St. Petersburg,,27.74046,-82.6688,"Transplanted plants, Raymund Foundation and Scott's MiracleGro",City of St. Petersburg,04-OCT-23 11.15.00.000000000 AM -04:00,,,APPROVED,APPROVED,XKWALI01,kfwalia@tbep.org,,Non-forested Freshwater Wetlands
22572,2023,Region 4,FL,Tampa Bay Estuary Program,Sand Scrub Prescribed Burn,Prescribed burn over 40 acres of Sand Scrub habitat at Boyd Hill Nature Preserve,Sand scrub habitat in the Boyd Hill Nature Preserve with a Gopher Tortoise population,Forest/Woodland,40,,,Prescribed Burn,,,0,8500,Protect/improve/provide habitat for other wildlife,Maintenance,City of St. Petersburg,,27.72732,-82.65396,City of St. Petersburg,City of St. Petersburg,04-OCT-23 12.23.00.000000000 PM -04:00,,,APPROVED,APPROVED,XKWALI01,kfwalia@tbep.org,,Uplands (Non-coastal)
22603,2023,Region 4,FL,Tampa Bay Estuary Program,Alafia River State Park Prescribed Fire,"This is a habitat restoration project at the 7,717 acre Alafia River State Park managed by the Florida Department of Environmental Protection. There is an approved management plan for the park and management focuses on habitat protection and restoration, as well as public access and recreation.  FY22-23 habitat restoration activities completed included fire line prep, and 1,718 acres of prescribed fire to reduce fuel load and restore species diversity.",Forested Woodland Upland Habitat within Alafia River State Park,Forest/Woodland,1718,,,Prescribed Burn,,Y,0,,Protect/improve/provide habitat for other wildlife,Maintenance,Florida Department of Environmental Protection - Division of Recreation and Parks,,27.78005,-82.14398,Florida Department of Environmental Protection - Division of Recreation and Parks,State of Florida,04-OCT-23 12.24.00.000000000 PM -04:00,,,APPROVED,APPROVED,XKWALI01,kfwalia@tbep.org,,Uplands (Non-coastal)
22604,2023,Region 4,FL,Tampa Bay Estuary Program,Hillsborough River State Park Prescribed Fire,"This is a habitat protection project at the 3,319 acre Hillsborough River State Park managed by the Florida Department of Environmental Protection. There is an approved management plan for the park and management focuses on habitat protection and restoration, as well as public access and recreation.  FY22-23 habitat restoration activities completed included fire line prep, and 88 acres of prescribed fire to reduce fuel load and restore species diversity.",Forested Woodland Upland Habitat in Hillsborough River State Park,Forest/Woodland,88,,,Prescribed Burn,,Y,0,,Protect/improve/provide habitat for other wildlife,Maintenance,Florida Department of Environmental Protection - Division of Recreation and Parks,,28.14342,-82.22679,Florida Department of Environmental Protection - Division of Recreation and Parks,State of Florida,04-OCT-23 12.24.00.000000000 PM -04:00,,,APPROVED,APPROVED,XKWALI01,kfwalia@tbep.org,,Uplands (Non-coastal)
22749,2023,Region 4,FL,Tampa Bay Estuary Program,Duette Preserve Feral Hog Management,This project focused on the removal of exotic and invasive feral hog from the largest preserve in Manatee County to protect and provide habitat for other wildlife.  Removal process is necessary and essential to allow these other habitats to exist in its native environment.,"Matrix of upland and freshwater wetlands-Scrub, scrubby flatwoods, mesic flatwoods, floodplain forest, depression marsh",Forest/Woodland,11000,,,Invasives Control/Removal - Fauna,,,0,2000,Protect/improve/provide habitat for other wildlife,Maintenance,Manatee County,,27.50854,-82.36228,Manatee County,Manatee County,04-OCT-23 12.30.00.000000000 PM -04:00,,,APPROVED,APPROVED,XKWALI01,kfwalia@tbep.org,,Uplands (Non-coastal)
22607,2023,Region 4,FL,Tampa Bay Estuary Program,Hillsborough River State Park Invasive Vegetation Control,"This is a habitat restoration project at the 3,319 acre Hillsborough River State Park managed by the Florida Department of Environmental Protection. There is an approved management plan for the park and management focuses on habitat protection and restoration, as well as public access and recreation. FY22-23 Habitat restoration activities completed included treatment of 36.2 acres of invasive vegetation within 137.5 gross acres of park property, and 5 miles of trail maintenance.",Forested Woodland Upland Habitat within Hillsborough River State Park,Forest/Woodland,36,,,Invasives Control/Removal - Vegetation,,Y,0,,Protect/improve/provide habitat for other wildlife,Maintenance,Florida Department of Environmental Protection - Division of Recreation and Parks,,28.14342,-82.22679,Florida Department of Environmental Protection - Division of Recreation and Parks,State of Florida,04-OCT-23 12.31.00.000000000 PM -04:00,,,APPROVED,APPROVED,XKWALI01,kfwalia@tbep.org,,Uplands (Non-coastal)
