view_detail,ID_number,Federal_Fiscal_Year,GPRA_project_name,HabRes_Project_name,TBEP Notes,KFW checked,
5558,R-091,2006,Felts-Audubon Restoration Project,Felts Preserve-Audubon Restoration Project,,,
443,R-092,2006,Kapok Wetland and Floodplain Restoration Project,Kapok Restoration Project,,,
393,E-093,2006,Terra Ceia Uplands Phase 3,Terra Ceia Aquatic and Buffer Preserve: Terra Ceia Uplands: Phase 3,,,
1677,LS-042,2007,MacDill AFB Shoreline Stabilization Project - Phase IV,MacDill Air Force Base Oyster Dome: Phase 2,Both involve oyster domes on the shoreline of MacDill AFB and are managed by Tampa Bay Watch.,OK,
2217,R-106,2010,Wolfbranch Creek Nature Preserve Ephemeral Pond Creation,Wolf Branch Creek Nature Preserve Ephemeral Pond Creation,,,
4744,E-215,2015,Allen’s Creek Management Area Exotic Vegetation Control,Allenâ€™s Creek Management Area Exotic Vegetation Control,,,
4935,E-224,2015,Brooker Creek Preserve Prescribed Burn – Unit: Whispering Lakes West,Brooker Creek Preserve Prescribed Burn â€“ Unit: Whispering Lakes West,,,
4934,E-221,2015,Brooker Creek Preserve Prescribed Burn – Unit: Northeast,Brooker Creek Preserve Prescribed Burn â€“ Unit: Northeast,,,
4933,E-223,2015,Brooker Creek Preserve Prescribed Burn – Unit: Twisted Pine Trail,Brooker Creek Preserve Prescribed Burn â€“ Unit: Twisted Pine Trail,,,
4932,E-222,2015,Brooker Creek Preserve Prescribed Burn – Unit: Red Trail,Brooker Creek Preserve Prescribed Burn â€“ Unit: Red Trail,,,
11798,R-131,2016,MacDill AFB – Mangrove Restoration Expansion Project,MacDill AFB â€“ Mangrove Restoration Expansion Project,,,
11706,LS-075,2016,Oyster Reef Shoreline Stabilization Phase V,MacDill Air Force Base Oyster Reef: Phase 5,"While they don't have the same lead imlementer or the same number of acres, these projects are both phase 5 of oyster reefs and are at MacDill Air Force.",OK - same description,different lat/long
18655,E-253,2017,Allen’s Creek Mgmt Area Exotic Veg. Control,Allenâ€™s Creek Management Area Exotic Vegetation Control,,,
18950,E-281,2018,Invasive Plant and Litter Removal at McKay Bay Nature Park,McKay Invasive Plant and Litter Removal at McKay Bay Nature Park,Both have the same acres and very similar project names but have different lead implements (City of Tampa and Keep Tampa Bay Beautiful).,OK,
19114,E-275,2018,Blackwater Creek Preserve,Blackwater Creek Preseve,,,
