View Detail,View Photos,Map,Federal Fiscal Year,Region,State Code,NEP Name,Project Name,Project Description,Habitat Description,Habitat Type,Acres,Miles,Feet,Restoration Technique,Donated Land,Data Unavailable,EPA Section 320,Total Project Cost,Project Benefits,Activity Name,Lead Implementer,Partners,Latitude,Longitude,Main Funding Source,Site Owner,Last Updated Date,NEP Comments,HQ Comments,HQ Status,Region Status,Total Cost,Author,Submitter Email,HMPU habitat 1,HMPU habitat 2,Count
22101,22101,"<a href=""http://google.com/maps/place/27.848+-82.608/@27.848,-82.60815z  target=""_blank"">Google Map</a>",2022,Region 4,FL,Tampa Bay Estuary Program,Weedon Island Preserve Exotic Vegetation Maintenance,"Invasive and nuisance exotics chemically treated (glyphosate and triclopyr). Retreatment is some areas is currently in maintenance. Species treated include: rosary pea, lygodium, Brazilian pepper, Australian almond tree, punk tree, cogon grass, Guinea grass, Caesar weed, sesbania, Pluchea carolinensis, carrotwood, lantana, Chinese tallow. All hardwoods near water were cut and stump was treated with triclopyr. All others were foliar treated with glyphosate.","Coastal hammocks and scrubby flatwoods, impacting native vegetation, Preserve with limited recreation activities",Forest/Woodland,282.0,,,Invasives Control/Removal - Vegetation,,,0,21000,Protect/improve/provide habitat for birds:Protect/improve/provide habitat for other wildlife,Maintenance,Pinellas County Parks and Conservation Resources,,27.8480,-82.6080,Pinellas County Operating and Florida Fish and Wildlife Conservation Herbicide Bank,Florida Internal Improvement Trust Fund & Pinellas County,04-OCT-22 03.56.00.000000000 PM -04:00,,,APPROVED,APPROVED,,XSSCOLAR,sheila@tbep.org,Uplands (Non-coastal),,134
22001,22001,"<a href=""http://google.com/maps/place/27.58528+-82.58949/@27.58528,-82.5894915z  target=""_blank"">Google Map</a>",2022,Region 4,FL,Tampa Bay Estuary Program,Terra Ceia Preserve State Park- Huber Tract G,Volunteers planted Paspalum vaginatum plugs in a tidal wetland to enhance habitat diversity and complexity.  Project benefits include increase protection/improved habitat for birds and other wildlife.,Tidal wetland with Avicennia germinans and Sabal palmetto.,Forested Wetland,0.1,,,Planting,,,0,1500,Protect/improve/provide habitat for birds:Protect/improve/provide habitat for other wildlife,Restoration,Tampa Bay Watch,,27.5853,-82.5895,"Steve Raymond Foundation, Community Foundation of Tampa Bay",State of Florida,19-OCT-22 04.27.00.000000000 PM -04:00,Before and After photos unavailable. (9/1/2022 11:17:09 am),,APPROVED,APPROVED,,XSSCOLAR,sheila@tbep.org,Forested Freshwater Wetlands,,8
22109,22109,"<a href=""http://google.com/maps/place/27.806+-82.7701/@27.806,-82.770115z  target=""_blank"">Google Map</a>",2022,Region 4,FL,Tampa Bay Estuary Program,War Veterans' Memorial Park,"Invasive and nuisance exotics chemically treated with glyphosate and triclopyr. Species included: rosary pea, air potato, Brazilian pepper, Australian almond tree, punk tree, cogon grass, Guinea grass, lead tree, castor bean, java plum, carrotwood, lantana, simpleleaf chastetree, and scaevola. All hardwood species were cut and stump was treated with triclopyr. All others were foliar treated with glyphosate.  Project benefits include increase protection/improved habitat for birds and other wildlife.","Mosaic of scrubby flatwoods, xeric hammock and mangrove swamp.",Forested Wetland,52.0,,,Invasives Control/Removal - Vegetation,,,0,10000,Protect/improve/provide habitat for birds:Protect/improve/provide habitat for other wildlife,Maintenance,Pinellas County Parks and Conservation Resources,,27.8060,-82.7701,Pinellas County Operating and Florida Fish and Wildlife Conservation Herbicide Bank,Pinellas County,19-OCT-22 04.26.00.000000000 PM -04:00,,,APPROVED,APPROVED,,XSSCOLAR,sheila@tbep.org,Forested Freshwater Wetlands,,28
22107,22107,"<a href=""http://google.com/maps/place/27.835+-82.811/@27.835,-82.81115z  target=""_blank"">Google Map</a>",2022,Region 4,FL,Tampa Bay Estuary Program,Boca Ciega Millennium Park,"Invasive and nuisance exotics chemically treated with glyphosate and triclopyr. Species included: rosary pea, air potato, Brazilian pepper, Australian almond tree, punk tree, cogon grass, Guinea grass, lead tree, castor bean, java plum, carrotwood, lantana, simpleleaf chastetree, and scaevola. All hardwood species were cut and stump was treated with triclopyr. All others were foliar treated with glyphosate.","Mosaic of scrubby flatwoods, mangrove swamp xeric hammock and salt marsh with access for public recreation.",Forested Wetland,72.0,,,Invasives Control/Removal - Vegetation,,,0,10000,Protect/improve/provide habitat for birds:Protect/improve/provide habitat for other wildlife,Maintenance,Pinellas County Parks and Conservation Resources,,27.8350,-82.8110,Pinellas County Operating and Florida Fish and Wildlife Conservation Herbicide Bank,Pinellas County,04-OCT-22 04.07.00.000000000 PM -04:00,,,APPROVED,APPROVED,,XSSCOLAR,sheila@tbep.org,Forested Freshwater Wetlands,,28
21988,21988,"<a href=""http://google.com/maps/place/27.52892+-82.15009/@27.52892,-82.1500915z  target=""_blank"">Google Map</a>",2022,Region 4,FL,Tampa Bay Estuary Program,Duette Preserve Invasive Species Removal,"This project involved the removal of, cogon grass, old world climbing fern, and ruderal pasture grasses and some feral sow & boar. Thirty-five acres of project were reseeded with a mix of flatwood species.  A matric of upland and freshwater wetlands, scrub, scrubby flatwoods, mesic flatwoods, floodplain forest, and depression marsh.  Project benefit to create habitat for birds and other wildlife.","Matric of upland and freshwater wetlands, scrub, scrubby flatwoods, mesic flatwoods, floodplain forest, and depression marsh",Forest/Woodland,11000.0,,,Invasives Control/Removal - Fauna,,,0,359000,Protect/improve/provide habitat for birds:Protect/improve/provide habitat for other wildlife,Maintenance,Manatee County,,27.5289,-82.1501,FWC-Upland Invasive Working Group Funding Assistance,Manatee County,04-OCT-22 03.30.00.000000000 PM -04:00,,,APPROVED,APPROVED,,XSSCOLAR,sscolaro@tbep.org,Uplands (Non-coastal),,1
22082,22082,"<a href=""http://google.com/maps/place/27.68858+-82.50743/@27.68858,-82.5074315z  target=""_blank"">Google Map</a>",2022,Region 4,FL,Tampa Bay Estuary Program,Cockroach Bay Nature Preserve,This project involved the removal the invasive and nuisance exotic plants from the property of Forest/Woodland along with tidal wetland; sheltered waters along the coast which are affected by both tides and freshwater run-off. Project benefits include protection and creation of habitat for birds and other wildlife.,Forest/Woodland along with tidal wetland; sheltered waters along the coast which are affected by both tides and freshwater run-off.,Forest/Woodland,636.0,,,Invasives Control/Removal - Vegetation,,,0,48891,Protect/improve/provide habitat for birds:Protect/improve/provide habitat for other wildlife,Maintenance,Hillsborough County,,27.6886,-82.5074,RESTORE,Hillsborough County,04-OCT-22 03.46.00.000000000 PM -04:00,(9/8/2022 1:30:40 pm),,APPROVED,APPROVED,,XSSCOLAR,sheila@tbep.org,Uplands (Non-coastal),,134
22004,22004,"<a href=""http://google.com/maps/place/27.60058+-82.76025/@27.60058,-82.7602515z  target=""_blank"">Google Map</a>",2022,Region 4,FL,Tampa Bay Estuary Program,Egmont Key State Park Invasive Vegetation Control,"This is a habitat restoration project at the 294 acre Egmont Key State Park managed by the Florida Department of Environmental Protection. This project included treatment of .95 acres of invasive vegetation within 2.5 gross acres of park property, and trail maintenance.  Project benefits include increase protection/improved habitat for birds and other wildlife.","Egmont Key is a secluded island at the mouth of Tampa Bay. It is home to coastal hammock forests, seagrasses, and sand dunes.",Forest/Woodland,1.0,,,Invasives Control/Removal - Vegetation,,Y,0,,Protect/improve/provide habitat for birds:Protect/improve/provide habitat for other wildlife,Maintenance,Florida Department of Environmental Protection - Division of Recreation and Parks,,27.6006,-82.7603,Florida Department of Environmental Protection - Division of Recreation and Parks,State of Florida,19-OCT-22 04.22.00.000000000 PM -04:00,Photos not provided. (9/1/2022 12:24:17 pm),,APPROVED,APPROVED,,XSSCOLAR,sheila@tbep.org,Uplands (Non-coastal),,134
22105,22105,"<a href=""http://google.com/maps/place/27.841+-82.774/@27.841,-82.77415z  target=""_blank"">Google Map</a>",2022,Region 4,FL,Tampa Bay Estuary Program,Lake Seminole Park Exotic Vegetation Maintenance,"Invasive and nuisance exotics chemically treated with glyphosate and triclopyr. Species included: rosary pea, air potato, Brazilian pepper, Australian almond tree, punk tree, cogon grass, Guinea grass, lead tree, castor bean, java plum, carrotwood, lantana, simpleleaf chastetree, and scaevola. All hardwood species were cut and stump was treated with triclopyr. All others were foliar treated with glyphosate.","Mosaic of mesic flatwoods, scrubby flatwoods and freshwater lake with access for public recreation activities.",Forest/Woodland,100.0,,,Invasives Control/Removal - Vegetation,,,0,10000,Protect/improve/provide habitat for birds:Protect/improve/provide habitat for other wildlife,Maintenance,Pinellas County Parks and Conservation Resources,,27.8410,-82.7740,Pinellas County Operating and Florida Fish and Wildlife Conservation Herbicide Bank,Pinellas County,04-OCT-22 03.58.00.000000000 PM -04:00,Photos not provided. (9/7/2022 1:09:42 pm),,APPROVED,APPROVED,,XSSCOLAR,sheila@tbep.org,Uplands (Non-coastal),,134
21990,21990,"<a href=""http://google.com/maps/place/27.50767+-82.36295/@27.50767,-82.3629515z  target=""_blank"">Google Map</a>",2022,Region 4,FL,Tampa Bay Estuary Program,Rye Preserve Invasive Control,"Targeted chemical treatment of cogon grass and other invasive exotic plants. In addition, a controlled burn was applied to the habitat to preserve and protect the ecosystem diversity and health.  Mosaic of upland and freshwater wetlands-Scrub, scrubby flatwoods, mesic flatwoods, floodplain forest and depression marsh with benefits to improve, protect and provide habitat for birds and other wildlife.","Mosaic of upland and freshwater wetlands-Scrub, scrubby flatwoods, mesic flatwoods, floodplain forest and depression marsh",Forest/Woodland,808.0,,,Invasives Control/Removal - Vegetation,,,0,181000,Protect/improve/provide habitat for birds:Protect/improve/provide habitat for other wildlife,Maintenance,Manatee County,,27.5077,-82.3630,FWC- Upland Invasive Working Group Funding Assistance,Manatee County,04-OCT-22 03.42.00.000000000 PM -04:00,,,APPROVED,APPROVED,,XSSCOLAR,sheila@tbep.org,Uplands (Non-coastal),,134
22003,22003,"<a href=""http://google.com/maps/place/27.58762+-82.22374/@27.58762,-82.2237415z  target=""_blank"">Google Map</a>",2022,Region 4,FL,Tampa Bay Estuary Program,Beker -South Fork State Park Invasive Vegetation Control,"This is a habitat restoration project at the 1,129 acre Beker - South Fork State Park managed by the Florida Department of Environmental Protection. There is an approved management plan for the park and management focuses on habitat protection and restoration, as well as public access and recreation.  FY21-22 Habitat restoration activities completed included treatment of 22.23 acres of invasive vegetation within 84 gross acres of park property.",Forested Woodland Upland Habitat,Forest/Woodland,84.0,,,Invasives Control/Removal - Vegetation,,Y,0,0,Protect/improve/provide habitat for birds:Protect/improve/provide habitat for other wildlife,Maintenance,Florida Department of Environmental Protection - Division of Recreation and Parks,,27.5876,-82.2237,Florida Department of Environmental Protection - Division of Recreation and Parks,State of Florida,04-OCT-22 04.02.00.000000000 PM -04:00,Photos unavailable. (9/1/2022 11:57:24 am),,APPROVED,APPROVED,,XSSCOLAR,sheila@tbep.org,Uplands (Non-coastal),,134
22015,22015,"<a href=""http://google.com/maps/place/27.71821+-82.46731/@27.71821,-82.4673115z  target=""_blank"">Google Map</a>",2022,Region 4,FL,Tampa Bay Estuary Program,Bahia Beach Riverton Parcel Acquisition,This project consisted of acquiring an 85 acre parcel of land that will be restored. Some maintenance was conducted on 76 acres of the property. Maintenance activities included removing build up of trash with volunteer support from the Tampa Bay Estuary Program.,"Estuarine shoreline, mangrove, and coastal grasslands and woodlands",Forest/Woodland,85.0,,,Land Acquisition,,,228,3237228,Protect or preserve open space,Protection,Hillsborough County,,27.7182,-82.4673,"RESTORE Act Grant, Gulf Ecosystem Restoration Council, Hillsborough County Board of County Commissioners",Hillsborough County,04-OCT-22 04.00.00.000000000 PM -04:00,Photos of newly acquired land not provided. (9/1/2022 3:21:50 pm),,APPROVED,APPROVED,,XSSCOLAR,sheila@tbep.org,Uplands (Non-coastal),,3
22008,22008,"<a href=""http://google.com/maps/place/27.66312+-82.37375/@27.66312,-82.3737515z  target=""_blank"">Google Map</a>",2022,Region 4,FL,Tampa Bay Estuary Program,Little Manatee River State Park Restoration,"This project included removal of 2 acres of sand pine and 1 acre of hardwoods to protect areas that contain populations of the endangered Florida goldenaster, removal of invasive animals (47 feral hogs) to restore a 1:1 ratio hogs to acres, chemical  treatment of 38.324 acres of invasive vegetation within 243.1 gross acres of park property, and 58 acres of prescribed fire to reduce fuel load and restore species diversity.","This is a habitat restoration project at the 2,493 acre Little Manatee River State Park managed by the Florida Department of Environmental Protection. Habitat mostly consists of upland, forested woodlands.",Forest/Woodland,351.0,,,Invasives Control/Removal - Vegetation,,Y,0,0,Protect/improve/provide habitat for birds:Protect/improve/provide habitat for other wildlife,Maintenance,Florida Department of Environmental Protection - Division of Recreation and Parks,,27.6631,-82.3738,Florida Department of Environmental Protection - Division of Recreation and Parks,State of Florida,04-OCT-22 03.50.00.000000000 PM -04:00,No photos provided. (9/1/2022 1:11:14 pm),,APPROVED,APPROVED,,XSSCOLAR,sheila@tbep.org,Uplands (Non-coastal),,134
21987,21987,"<a href=""http://google.com/maps/place/27.53345+-82.1039/@27.53345,-82.103915z  target=""_blank"">Google Map</a>",2022,Region 4,FL,Tampa Bay Estuary Program,Headwaters at Duette Preserve Prescribed Fire,"Preparation for and application of beneficial fire to protect and maintain ecosystem diversity and health. Mosaic of upland and freshwater wetlands-Scrub, scrubby flatwoods, mesic flatwoods, floodplain forest and depression marsh. Project benefit to improve/protect to create habitat for birds and other wildlife.","Mosaic of upland and freshwater wetlands-Scrub, scrubby flatwoods, mesic flatwoods, floodplain forest and depression marsh.",Forest/Woodland,12272.0,,,Prescribed Burn,,,0,174000,Protect/improve/provide habitat for birds:Protect/improve/provide habitat for other wildlife,Maintenance,Manatee County,,27.5335,-82.1039,Manatee County,Manatee County,04-OCT-22 03.32.00.000000000 PM -04:00,,,APPROVED,APPROVED,,XSSCOLAR,sscolaro@tbep.org,Uplands (Non-coastal),,33
22114,22114,"<a href=""http://google.com/maps/place/27.84933+-82.55426/@27.84933,-82.5542615z  target=""_blank"">Google Map</a>",2022,Region 4,FL,Tampa Bay Estuary Program,Sand Dune Restoration at Picnic Island Park,"The Sand Dune Restoration Project at Picnic Island Park was completed this past quarter. There were 100 volunteers who came out to Picnic Island Park to assist in creating this sand dune. Volunteers moved and positioned 180 cubic yards of sand and installed 3,310 native dune plants. Plants included: 576 2” Sea Purslane, 250 1-Gallon Dune Sunflower, 250 1-Gallon Muhly Grass, 250 1-Gallon Beach Elder, 250 1-Gallon Sand Cordgrass, 294 4” Sand Cordgrass, and 1,440 (4"" LN)-2-N Sea Oats.","Picnic Island Park is a coastal island with recreational opportunities. Coastal shrub and dunes are comprised of a variety of native species including: false-willow, railroad vine, milkweed, and white and red mangroves. The island has experienced extensive erosion.",Dune,0.5,,,Erosion Control,,,0,12147,Erosion control:Protect/improve/provide habitat for birds:Protect/improve/provide habitat for other wildlife,Restoration,Keep Tampa Bay Beautiful,,27.8493,-82.5543,Tampa Bay Specialty License Plate Funds,,17-OCT-22 04.34.00.000000000 PM -04:00,,,APPROVED,APPROVED,,XSSCOLAR,sheila@tbep.org,Coastal Uplands,,2
21996,21996,"<a href=""http://google.com/maps/place/27.84092+-82.51006/@27.84092,-82.5100615z  target=""_blank"">Google Map</a>",2022,Region 4,FL,Tampa Bay Estuary Program,Invasive Species Removal on MacDill Air Force Base,"Herbicide treatment of invasive trees (Brazilian pepper, lead tree, melaleuca, and chinese tallow) and cogon grass to kill vegetation in place to protect, improve and provide habitat for birds, other wildlife, fish and shellfish.","Previously disturbed areas that have been invaded by invasive plants, primarily Brazilian pepper.",Forest/Woodland,78.0,,,Invasives Control/Removal - Vegetation,,,0,37000,Protect/improve/provide habitat for birds:Protect/improve/provide habitat for fish/shellfish:Protect/improve/provide habitat for other wildlife,Maintenance,United States Air Force,,27.8409,-82.5101,United States Air Force,United States Air Force,04-OCT-22 04.05.00.000000000 PM -04:00,,,APPROVED,APPROVED,,XSSCOLAR,sheila@tbep.org,Uplands (Non-coastal),,134
21992,21992,"<a href=""http://google.com/maps/place/27.84311+-82.5066/@27.84311,-82.506615z  target=""_blank"">Google Map</a>",2022,Region 4,FL,Tampa Bay Estuary Program,Native Planting Arbor Day,The planting of 130 native plants for Arbor Day in an area of moderate to poor quality gopher tortoise habitat near the Crash Fire Station.  These plantings will help stimulate native plant growth and provide additional wildlife habitat.  Project benefits include increase protection/improved habitat for birds and other wildlife.,Previously disturbed area with gopher tortoise habitat.,Forest/Woodland,1.0,,,Planting,,,0,1000,Protect/improve/provide habitat for birds:Protect/improve/provide habitat for other wildlife,Restoration,United States Air Force,,27.8431,-82.5066,"Florida Government Utility Authority, United States Water",United States Air Force,19-OCT-22 04.24.00.000000000 PM -04:00,,,APPROVED,APPROVED,,XSSCOLAR,sheila@tbep.org,Uplands (Non-coastal),,25
