ID Number,Project Name,Year Reported,"Brief Habitat Description (sources of impacts, significant features, site uses, etc.)",Project Description,GPRA Habitat Type (more complex),Habitat Type (basic ESA categories)(existing databases),HMPU Habitat Type for Restoration,Restoration Technique (GPRA dropdown menu),GPRA Activity (slightly more complex),Basic Activity (Enhance/Rest),"Previously Reported (same location, different technique) (Yes/No dropdown menu)?",Acres,Linear Miles,Linear Feet,"Latitude (decimal degrees, minimum 3 decimals)","Longitude (decimal degrees, minimum 3 decimals)","Lead Partner/Implementor (please spell out everything, no acronyms)","Other Partners (please spell out everything, no acronyms)",Site Ownership,Total Project Cost (best guess),Donated Land at no cost (Yes/No dropdown menu),Primary Funding Source,Project Benefits (dropdown menu),Photo 1 (Before) Credit,Photo 1 (Before) Caption,Photo 2 (During) Credit,Photo 2 (During) Caption,Photo 3 (After) Credit,Photo 3 (After) Caption,Project Completion Date (month/year) (start date prior to 2020),TBEP Notes,Oyster?
E-001,Howard Frankland West,1971,,planting of red mangroves,,Estuarine,,planting of red mangroves,,Enhancement,,0.01,,,27.94169,-82.54922,FDNR,,,,,,,,,,,,,,,
E-002,Terra Ceia Bird Key ,1972,,"planting of red, black, and white mangroves",,Estuarine,,"planting of red, black, and white mangroves",,Enhancement,,0.003,,,27.61633,-82.56563,FDNR,,,,,,,,,,,,,,,
E-003,Mullet Key,1973,,"planting of red, black, and white mangroves",,Estuarine,,"planting of red, black, and white mangroves",,Enhancement,,0.03,,,27.64755,-82.71522,FDNR,,,,,,,,,,,,,,,
E-004,Fishhook Spoil,1974,,planting of red mangroves,,Estuarine,,planting of red mangroves,,Enhancement,,0.02,,,27.80267,-82.41917,FDNR,,,,,,,,,,,,,,,
E-005,Fishhook Spoil,1976,,planting of Spartina alterniflora,,Estuarine,,planting of Spartina alterniflora,,Enhancement,,0.01,,,27.80267,-82.41917,FDNR,,,,,,,,,,,,,,,
E-006,Alafia Bank Sunken Island Extension-Phase 1,1978,,planting of Spartina alterniflora,,Estuarine,,planting of Spartina alterniflora,,Enhancement,,2,,,27.84414,-82.41983,Audubon of Florida,,,,,,,,,,,,,,,
E-007,Alafia Bank Sunken Island Extension-Phase 2,1979,,planting of Spartina alterniflora,,Estuarine,,planting of Spartina alterniflora,,Enhancement,,0.1,,,27.84414,-82.41983,Audubon of Florida,,,,,,,,,,,,,,,
E-008,Alafia Bank Sunken Island Extension-Phase 3,1979,,planting of Spartina alterniflora,,Estuarine,,planting of Spartina alterniflora,,Enhancement,,2,,,27.84664,-82.41983,Audubon of Florida,,,,,,,,,,,,,,,
E-009,Palm River,1979,,"planting of Spartina alterniflora, Paspalum",,Estuarine,,"planting of Spartina alterniflora, Paspalum",,Enhancement,,0.17,,,27.94167,-82.40809,FDNR,,,,,,,,,,,,,,,
LS-001,Palm River,1979, ,"planting of Spartina alterniflora, Paspalum",,Estuarine,,,,Enhancement,,,,50,27.9424,-82.4083,FDNR, ,,0,, ,"planting of Spartina alterniflora, Paspalum",,,,,,, ,,
E-010,Alafia Bank Sunken Island Extension-Phase 4,1980,,planting of Spartina alterniflora,,Estuarine,,planting of Spartina alterniflora,,Enhancement,,0.1,,,27.84664,-82.41983,Audubon of Florida,,,,,,,,,,,,,,,
E-011,Channel A,1980,,planting of Spartina alterniflora,,Estuarine,,planting of Spartina alterniflora,,Enhancement,,2,,,27.99911,-82.61671,FDNR,,,,,,,,,,,,,,,
E-100,E.G. Simmons Park,1980,,planting of Spartina alterniflora,,Estuarine,,planting of Spartina alterniflora,,Enhancement,,1.98,,,27.7448,-82.47223,FDNR,,,,,,,,,,,,,,,
E-013,Spoil Island CMDA-2D,1985,,Planting of Spartina alterniflora,,Estuarine,,Planting of Spartina alterniflora,,Enhancement,,10,,,27.87395,-82.43123,TPA ,,,,,,,,,,,,,,,
E-014,Hendry Delta,1986,,planting of Spartina alterniflora,,Estuarine,,planting of Spartina alterniflora,,Enhancement,,0.05,,,27.62546,-82.56553,FDNR,,,,,,,,,,,,,,,
E-015,Pinellas Point,1986,,"planting of Spartina alterniflora, red, white, and black mangroves",,Estuarine,,"planting of Spartina alterniflora, red, white, and black mangroves",,Enhancement,,0.04,,,27.70018,-82.65252,FDNR,,,,,,,,,,,,,,,
E-016,Regatta Point,1986,,planting of Spartina,,Estuarine,,planting of Spartina,,Enhancement,,0.03,,,27.51181,-82.57634,FDNR,,,,,,,,,,,,,,,
E-017,Apollo Beach Seawall,1987,,planting of red mangroves,,Estuarine,,planting of red mangroves,,Enhancement,,0.01,,,27.79598,-82.41983,FDNR,,,,,,,,,,,,,,,
E-018,Hendry Delta,1987,,"planting of Spartina alterniflora, red mangroves",,Estuarine,,"planting of Spartina alterniflora, red mangroves",,Enhancement,,0.1,,,27.65246,-82.56553,FDNR,,,,,,,,,,,,,,,
E-019,Largo Narrows Park,1987,,"planting of Spartina, mangroves",,Estuarine,,"planting of Spartina, mangroves",,Enhancement,,0.15,,,27.84134,-82.83925,FDNR,,,,,,,,,,,,,,,
E-020,Little Bird Key/Boca Ceiga,1987,,planting of red mangroves,,Estuarine,,planting of red mangroves,,Enhancement,,0.015,,,27.79297,-82.77787,FDNR,,,,,,,,,,,,,,,
E-021,Pinellas Point,1987,,planting of Spartina alterniflora,,Estuarine,,planting of Spartina alterniflora,,Enhancement,,0.03,,,27.70018,-82.65252,FDNR,,,,,,,,,,,,,,,
E-022,Port Manatee (SR 92),1987,,planting of Spartina alterniflora,,Estuarine,,planting of Spartina alterniflora,,Enhancement,,0.05,,,27.63472,-82.57302,FDNR,,,,,,,,,,,,,,,
E-023,Rattlesnake Key (SR 96),1987,,planting of Spartina alterniflora,,Estuarine,,planting of Spartina alterniflora,,Enhancement,,0.05,,,27.5797,-82.60861,FDNR,,,,,,,,,,,,,,,
E-024,Regatta Point,1987,,planting of Spartina alterniflora,,Estuarine,,planting of Spartina alterniflora,,Enhancement,,0.01,,,27.51181,-82.57634,FDNR,,,,,,,,,,,,,,,
R-001,Peanut Lake Rotary Ditching,1987,,Restore tidal flushing,,Estuarine,,Rotary ditching,,Restoration,,100,,,27.623,-82.56174,FDER,,,,,,,,,,,,,,,
E-025,Alafia Bank Bird Island,1988,,planting of Spartina alterniflora,,Estuarine,,planting of Spartina alterniflora,,Enhancement,,0.06,,,27.84822,-82.40561,Audubon of Florida,,,,,,,,,,,,,,,
E-026,Hendry Delta,1988,,planting of Spartina alterniflora,,Estuarine,,planting of Spartina alterniflora,,Enhancement,,0.15,,,27.62546,-82.56553,FDNR,,,,,,,,,,,,,,,
E-027,North Sunshine Skyway,1988,,planting of Spartina alterniflora,,Estuarine,,planting of Spartina alterniflora,,Enhancement,,0.05,,,27.70147,-82.67827,FDNR,,,,,,,,,,,,,,,
E-028,Pinellas Point ,1988,,planting of red mangroves,,Estuarine,,planting of red mangroves,,Enhancement,,0.05,,,27.70018,-82.65252,FDNR,,,,,,,,,,,,,,,
E-029,Regatta Point,1988,,"planting of Spartina alterniflora, white mangroves",,Estuarine,,"planting of Spartina alterniflora, white mangroves",,Enhancement,,0.02,,,27.51181,-82.57634,FDNR,,,,,,,,,,,,,,,
E-030,Alafia Bank Bird Island,1989,,planting of Spartina alterniflora,,Estuarine,,planting of Spartina alterniflora,,Enhancement,,0.2,,,27.84976,-82.40566,Audubon of Florida,,,,,,,,,,,,,,,
E-031,Maximo Park,1989,,"planting of Spartina alterniflora, red mangroves",,Estuarine,,"planting of Spartina alterniflora, red mangroves",,Enhancement,,0.05,,,27.71004,-82.68367,FDNR,,,,,,,,,,,,,,,
R-002,Cabbagehead Bayou,1989,,cut berm breach to restore tidal flow to Cabbagehead Bayou,,Estuarine,,cut berm breach to restore tidal flow to Cabbagehead Bayou,,Restoration,,50,,,27.99818,-82.61724,SWFWMD-SWIM,,,,,,,,,,,,,,,
R-003,Hendry Delta Fill,1989,,estuarine wetlands,,Estuarine,,"Substrate modification, planting",,Restoration,,3,,,27.62546,-82.56553,SWFWMD-SWIM,,,,,,,,,,,,,,,
E-032,Green Key,1990,,planting of Spartina alterniflora,,Estuarine,,planting of Spartina alterniflora,,Enhancement,,0.03,,,27.81831,-82.39918,Audubon of Florida,,,,,,,,,,,,,,,
E-033,South Bayshore Boulevard,1990,,planting of Spartina alterniflora,,Estuarine,,planting of Spartina alterniflora,,Enhancement,,1.5,,,27.87472,-82.48678,SWFWMD-SWIM,,,,,,,,,,,,,,,
E-034,Terra Ceia Bird Key - Nina Griffith Washburn Bird Sanctuary,1990,,planting of Spartina alterniflora,,Estuarine,,planting of Spartina alterniflora,,Enhancement,,0.1,,,27.55233,-82.60012,Audubon of Florida,,,,,,,,,,,,,,,
E-115,Whiskey Stump Key,1990,,"planting of Spartina alterniflora, 2,000 units",,Estuarine,,planting of Spartina alterniflora,,Enhancement,,0.5,,,27.81302,-82.40247,Audubon of Florida,,,,,,,,,,,,,,,
R-004,Boca Ceiga (Milenum Park),1990,,"Excavation, planting of Spartina alterniflora",,Estuarine,,"Excavation, planting of Spartina alterniflora",,Restoration,,2.5,,,27.8325,-82.81256,FDNR,,,,,,,,,,,,,,,
R-005,Delaney Pop-Off Canal,1990,,"Intertidal creek restoration, removed spoil banks",,Estuarine,,"Streambank grading, planting",,Restoration,,10,,,27.88512,-82.40251,FDEP,,,,,,,,,,,,,,,
R-006,E.G. Simmons Park: Phase 1,1990,,restoration of open water and estuarine wetlands,,Estuarine,,"Substrate modification, planting",,Restoration,,14,,,27.7448,-82.47223,SWFWMD-SWIM,,,,,,,,,,,,,,,
R-007,Joe's Creek Restoration: Phase 1,1990,,"Rotary ditching, exotic removal, clearing and planting of Spartina alterniflora",,Estuarine,,"Excavation, Invasive Removal – Vegetation, Planting of Spartina alterniflora",,Restoration,,4.61,,,27.83834,-82.75289,FDER,,,,,,,,,,,,,,,
R-008,Polanis Park,1990,,planting of Spartina alterniflora,,Estuarine,,"Excavation, grading, planting of Spartina alterniflora, removal of invasives",,Restoration,,3.3,,,27.89221,-82.5403,FDNR,,,,,,,,,,,,,,,
R-009,Foch Lake,1991,,"filling to shallow depth, dredged tidal channels, exotic removal",,Estuarine,,filling to shallow depth,,Restoration,,3.9,,,27.82653,-82.62078,FDER,,,,,,,,,,,,,,,
R-010,Joe's Creek Restoration: Phase 2 ,1991,,"exotic removal, clearing and planting of Spartina alterniflora",,Estuarine,,"Regrading, Invasive Removal – Vegetation, Planting of Spartina alterniflora",,Restoration,,6.06,,,27.83834,-82.75289,FDER,,,,,,,,,,,,,,,
R-011,Mangrove Bay: Phase 1,1991,,low salinity open water estuarine and wetlands and uplands,,Estuarine,,"Substrate modification, planting",,Restoration,,13.5,,,27.84259,-82.62981,SWFWMD-SWIM,,,,,,,,,,,,,,,
R-012,McKay Bay Northeast,1991,,low salinity esturaine wetlands and uplands,,Estuarine,,"Substrate modification, planting",,Restoration,,4,,,27.95212,-82.4114,SWFWMD-SWIM,City of Tampa,,116775,,,,,,,,,,,,
E-036,Port Manatee Parcel Restoration Project,1992,,"Marsh and mangrove restoration, exotic plant removal, upland restoration",,"Mix (estuarine, freshwater, and upland)",,Exotic removal and restoration,,Enhancement,,700,,,27.63472,-82.57302,TECO,,,,,,,,,,,,,,,
LS-002,Lowry Park: Shoreline,1992, ,Freshwater and low salinity wetlands,,Estuarine,,,,Enhancement,,,,400,28.01443,-82.46453,SWFWMD-SWIM,"FDEP, City of Tampa",,18000,, ,"Substrate modification, planting",,,,,,, ,,
R-013,Boca Ciega: Phase 1,1992,,low salinity open water and estuarine and freshwater wetlands,,Mix (estuarine and freshwater),,"Substrate modification, planting",,Restoration,,3.5,,,27.8325,-82.81256,SWFWMD-SWIM,,,,,,,,,,,,,,,
R-014,Joe's Creek Restoration: Phase 3,1992,,"exotic removal, clearing and planting of Spartina alterniflora",,Estuarine,,"Invasive Removal – Vegetation, Planting of Spartina alterniflora",,Restoration,,1.83,,,27.83834,-82.75289,FDER,,,,,,,,,,,,,,,
R-015,Lake Tarpon Outfall Canal: Phase 1,1992,,estuarine/low salinity wetlands,,Estuarine,,"Substrate modification, planting of Spartina",,Restoration,,1,,,28.05315,-82.70892,SWFWMD-SWIM,Volunteers,,2000,,,,,,,,,,,,
R-016,Little Bayou Habitat Restoration Project: Phase 1,1992,,Restoration of tidal creek ,,Estuarine,,"Excavation, planting",,Restoration,,3,,,27.71901,-82.63769,SWFWMD-SWIM,,,,,,,,,,,,,,,
R-017,Lowry Park: Spring,1992,,Freshwater and low salinity wetlands,,Estuarine,,"Substrate modification, planting",,Restoration,,0.5,,,28.01475,-82.4646,SWFWMD-SWIM,"FDEP, City of Tampa",,18000,,,,,,,,,,,,
R-018,Mangrove Bay Pit Filling ,1992,,filling to shallow depth from 27 feet to 10 feet,,Estuarine,,,,Restoration,,20,,,27.84259,-82.62981,FDEP,,,,,,,,,,,,,,,
R-019,Mangrove Bay: Phase 2,1992,,"estuarine wetlands, artificial reefs",,Estuarine,,"Substrate modification, planting",,Restoration,,0.5,,,27.83979,-82.62582,SWFWMD-SWIM,,,,,,,,,,,,,,,
SEP-001,Gandy Park,1992, ,Block planters with mangroves at shoreline,,Estuarine,,,,Restoration,,,,100,27.89038,-82.53945,Tampa Bay Estuary Program, ,,0,, , ,,,,,,, ,,
LS-003,Hamilton Creek,1993, ,Stream restoration and planting,,Freshwater,,,,Enhancement,,,,250,28.01371,-82.46536,SWFWMD-SWIM, ,,0,, ,Stream restoration and planting,,,,,,, ,,
LS-004,Picnic Island,1993, ,Living shoreline associated with larger wetland restoration effort,,Estuarine,,,,Restoration,,,,300,27.85732,-82.55182,SWFWMD-SWIM, ,,0,, ,"Substrate modification, planting",,,,,,, ,,
R-020,Boca Ciega: Phase 2,1993,,estuarine and freshwater wetlands ,,Mix (estuarine and freshwater),,"Substrate modification, planting",,Restoration,,1,,,27.8325,-82.81256,SWFWMD-SWIM,,,,,,,,,,,,,,,
R-021,Freeman Park,1993,,"Create tidal lagoon, enhanced hardened shoreline, Plantings of Spartina alterniflora, exotic removal",,Estuarine,,"Excavation, planting of Spartina alterniflora, Exotic removal",,Restoration,,7,,,27.89221,-82.5403,BAEAT,,,,,,,,,,,,,,,
R-022,Peanut Lake,1993,,"estuarine, open water, and wetlands",,Estuarine,,"Substrate modification, planting",,Restoration,,10,,,27.62297,-82.55627,FDEP,,,,,,,,,,,,,,,
R-023,Picnic Island,1993,,Estuarine open water and wetlands and uplands,,Estuarine,,"Substrate modification, planting",,Restoration,,8,,,27.85288,-82.5527,SWFWMD-SWIM,,,,,,,,,,,,,,,
R-024,Al Lopez Park,1994,,planting of freshwater wetlands,,Freshwater,,planting of freshwater wetlands,,Restoration,,2,,,27.99093,-82.50309,SWFWMD-SWIM,,,,,,,,,,,,,,,
R-025,Harbor Palms Park,1994,,low salinity estuarine wetlands and open water and stormwater polishing,,Estuarine,,"Substrate modification, planting",,Restoration,,4.4,,,28.03928,-82.69337,SWFWMD-SWIM,City of Oldsmar,,118541,,,,,,,,,,,,
R-026,Howard Frankland East,1994,,estuarine wetlands and fringing uplands,,Estuarine,,,,Restoration,,3,,,27.94214,-82.54567,SWFWMD-SWIM,FDOT,,60000,,,,,,,,,,,,
R-027,Jungle Prada Park,1994,,estuarine wetlands and open water habitat,,Estuarine,,"Substrate modification, planting",,Restoration,,1,,,27.7874,-82.75363,SWFWMD-SWIM,,,,,,,,,,,,,,,
R-028,MacDill Air Force Base: Phase 1A,1994,,"low salinity, estuarine wetlands, open water and uplands",,Mix (estuarine and upland),,"Substrate modification, planting",,Restoration,,3,,,27.82976,-82.47662,SWFWMD-SWIM,,,,,,,,,,,,,,,
