View_Detail,Federal_Fiscal_Year,Region,State_Code,NEP_Name,Project_Name,Project_Description,Habitat_Description,Habitat_Type,Restoration_Technique,Donated_Land,Data_Unavailable,EPA_Section_320,Total_Project_Cost,Project_Benefits,Activity_Name,Lead_Implementer,Partners,Main_Funding_Source,Site_Owner,Last_Updated_Date,NEP_Comments,HQ_Comments,HQ_Status,Region_Status,Total_Cost,Author,Submitter_Email,PrimaryHabitat,SecondaryHabitat,Acres,Miles,Latitude,Longitude,Feet,ID_Number,GeneralHabitat,GeneralActivity,BeforePhotoCredit,BeforePhotoCaption,DuringPhotoCredit,DuringPhotoCaption,AfterPhotoCredit,AfterPhotoCaption,TBEP_Notes
,1971,Region 4,FL,Tampa Bay Estuary Program,Howard Frankland West,planting of red mangroves,,,planting of red mangroves,,,,,,,FDNR,,,,,,,,,,,,,,0.01,,27.94169,-82.54922,,E-001,Estuarine,Enhancement,,,,,,,
,1972,Region 4,FL,Tampa Bay Estuary Program,Terra Ceia Bird Key,"planting of red, black, and white mangroves",,,"planting of red, black, and white mangroves",,,,,,,FDNR,,,,,,,,,,,,,,0,,27.61633,-82.56563,,E-002,Estuarine,Enhancement,,,,,,,
,1973,Region 4,FL,Tampa Bay Estuary Program,Mullet Key,"planting of red, black, and white mangroves",,,"planting of red, black, and white mangroves",,,,,,,FDNR,,,,,,,,,,,,,,0.03,,27.64755,-82.71522,,E-003,Estuarine,Enhancement,,,,,,,
,1974,Region 4,FL,Tampa Bay Estuary Program,Fishhook Spoil,planting of red mangroves,,,planting of red mangroves,,,,,,,FDNR,,,,,,,,,,,,,,0.02,,27.80267,-82.41917,,E-004,Estuarine,Enhancement,,,,,,,
,1976,Region 4,FL,Tampa Bay Estuary Program,Fishhook Spoil,planting of Spartina alterniflora,,,planting of Spartina alterniflora,,,,,,,FDNR,,,,,,,,,,,,,,0.01,,27.80267,-82.41917,,E-005,Estuarine,Enhancement,,,,,,,
,1978,Region 4,FL,Tampa Bay Estuary Program,Alafia Bank Sunken Island Extension-Phase 1,planting of Spartina alterniflora,,,planting of Spartina alterniflora,,,,,,,Audubon of Florida,,,,,,,,,,,,,,2,,27.84414,-82.41983,,E-006,Estuarine,Enhancement,,,,,,,
,1979,Region 4,FL,Tampa Bay Estuary Program,Alafia Bank Sunken Island Extension-Phase 2,planting of Spartina alterniflora,,,planting of Spartina alterniflora,,,,,,,Audubon of Florida,,,,,,,,,,,,,,0.1,,27.84414,-82.41983,,E-007,Estuarine,Enhancement,,,,,,,
,1979,Region 4,FL,Tampa Bay Estuary Program,Alafia Bank Sunken Island Extension-Phase 3,planting of Spartina alterniflora,,,planting of Spartina alterniflora,,,,,,,Audubon of Florida,,,,,,,,,,,,,,2,,27.84664,-82.41983,,E-008,Estuarine,Enhancement,,,,,,,
,1979,Region 4,FL,Tampa Bay Estuary Program,Palm River,"planting of Spartina alterniflora, Paspalum",,,"planting of Spartina alterniflora, Paspalum",,,,,,,FDNR,,,,,,,,,,,,,,0.17,,27.94167,-82.40809,,E-009,Estuarine,Enhancement,,,,,,,
,1979,Region 4,FL,Tampa Bay Estuary Program,Palm River,"planting of Spartina alterniflora, Paspalum",,,,,,,0,"planting of Spartina alterniflora, Paspalum",,FDNR,,,,,,,,,,,,,,,,27.9424,-82.4083,50,LS-001,Estuarine,Enhancement,,,,,,,
,1980,Region 4,FL,Tampa Bay Estuary Program,Alafia Bank Sunken Island Extension-Phase 4,planting of Spartina alterniflora,,,planting of Spartina alterniflora,,,,,,,Audubon of Florida,,,,,,,,,,,,,,0.1,,27.84664,-82.41983,,E-010,Estuarine,Enhancement,,,,,,,
,1980,Region 4,FL,Tampa Bay Estuary Program,Channel A,planting of Spartina alterniflora,,,planting of Spartina alterniflora,,,,,,,FDNR,,,,,,,,,,,,,,2,,27.99911,-82.61671,,E-011,Estuarine,Enhancement,,,,,,,
,1980,Region 4,FL,Tampa Bay Estuary Program,E.G. Simmons Park,planting of Spartina alterniflora,,,planting of Spartina alterniflora,,,,,,,FDNR,,,,,,,,,,,,,,1.98,,27.7448,-82.47223,,E-100,Estuarine,Enhancement,,,,,,,
,1985,Region 4,FL,Tampa Bay Estuary Program,Spoil Island CMDA-2D,Planting of Spartina alterniflora,,,Planting of Spartina alterniflora,,,,,,,TPA,,,,,,,,,,,,,,10,,27.87395,-82.43123,,E-013,Estuarine,Enhancement,,,,,,,
,1986,Region 4,FL,Tampa Bay Estuary Program,Hendry Delta,planting of Spartina alterniflora,,,planting of Spartina alterniflora,,,,,,,FDNR,,,,,,,,,,,,,,0.05,,27.62546,-82.56553,,E-014,Estuarine,Enhancement,,,,,,,
,1986,Region 4,FL,Tampa Bay Estuary Program,Pinellas Point,"planting of Spartina alterniflora, red, white, and black mangroves",,,"planting of Spartina alterniflora, red, white, and black mangroves",,,,,,,FDNR,,,,,,,,,,,,,,0.04,,27.70018,-82.65252,,E-015,Estuarine,Enhancement,,,,,,,
,1986,Region 4,FL,Tampa Bay Estuary Program,Regatta Point,planting of Spartina,,,planting of Spartina,,,,,,,FDNR,,,,,,,,,,,,,,0.03,,27.51181,-82.57634,,E-016,Estuarine,Enhancement,,,,,,,
,1987,Region 4,FL,Tampa Bay Estuary Program,Apollo Beach Seawall,planting of red mangroves,,,planting of red mangroves,,,,,,,FDNR,,,,,,,,,,,,,,0.01,,27.79598,-82.41983,,E-017,Estuarine,Enhancement,,,,,,,
,1987,Region 4,FL,Tampa Bay Estuary Program,Hendry Delta,"planting of Spartina alterniflora, red mangroves",,,"planting of Spartina alterniflora, red mangroves",,,,,,,FDNR,,,,,,,,,,,,,,0.1,,27.65246,-82.56553,,E-018,Estuarine,Enhancement,,,,,,,
,1987,Region 4,FL,Tampa Bay Estuary Program,Largo Narrows Park,"planting of Spartina, mangroves",,,"planting of Spartina, mangroves",,,,,,,FDNR,,,,,,,,,,,,,,0.15,,27.84134,-82.83925,,E-019,Estuarine,Enhancement,,,,,,,
,1987,Region 4,FL,Tampa Bay Estuary Program,Little Bird Key/Boca Ceiga,planting of red mangroves,,,planting of red mangroves,,,,,,,FDNR,,,,,,,,,,,,,,0.02,,27.79297,-82.77787,,E-020,Estuarine,Enhancement,,,,,,,
,1987,Region 4,FL,Tampa Bay Estuary Program,Peanut Lake Rotary Ditching,Restore tidal flushing,,,Rotary ditching,,,,,,,FDER,,,,,,,,,,,,,,100,,27.623,-82.56174,,R-001,Estuarine,Restoration,,,,,,,
,1987,Region 4,FL,Tampa Bay Estuary Program,Pinellas Point,planting of Spartina alterniflora,,,planting of Spartina alterniflora,,,,,,,FDNR,,,,,,,,,,,,,,0.03,,27.70018,-82.65252,,E-021,Estuarine,Enhancement,,,,,,,
,1987,Region 4,FL,Tampa Bay Estuary Program,Port Manatee (SR 92),planting of Spartina alterniflora,,,planting of Spartina alterniflora,,,,,,,FDNR,,,,,,,,,,,,,,0.05,,27.63472,-82.57302,,E-022,Estuarine,Enhancement,,,,,,,
,1987,Region 4,FL,Tampa Bay Estuary Program,Rattlesnake Key (SR 96),planting of Spartina alterniflora,,,planting of Spartina alterniflora,,,,,,,FDNR,,,,,,,,,,,,,,0.05,,27.5797,-82.60861,,E-023,Estuarine,Enhancement,,,,,,,
,1987,Region 4,FL,Tampa Bay Estuary Program,Regatta Point,planting of Spartina alterniflora,,,planting of Spartina alterniflora,,,,,,,FDNR,,,,,,,,,,,,,,0.01,,27.51181,-82.57634,,E-024,Estuarine,Enhancement,,,,,,,
,1988,Region 4,FL,Tampa Bay Estuary Program,Alafia Bank Bird Island,planting of Spartina alterniflora,,,planting of Spartina alterniflora,,,,,,,Audubon of Florida,,,,,,,,,,,,,,0.06,,27.84822,-82.40561,,E-025,Estuarine,Enhancement,,,,,,,
,1988,Region 4,FL,Tampa Bay Estuary Program,Hendry Delta,planting of Spartina alterniflora,,,planting of Spartina alterniflora,,,,,,,FDNR,,,,,,,,,,,,,,0.15,,27.62546,-82.56553,,E-026,Estuarine,Enhancement,,,,,,,
,1988,Region 4,FL,Tampa Bay Estuary Program,North Sunshine Skyway,planting of Spartina alterniflora,,,planting of Spartina alterniflora,,,,,,,FDNR,,,,,,,,,,,,,,0.05,,27.70147,-82.67827,,E-027,Estuarine,Enhancement,,,,,,,
,1988,Region 4,FL,Tampa Bay Estuary Program,Pinellas Point,planting of red mangroves,,,planting of red mangroves,,,,,,,FDNR,,,,,,,,,,,,,,0.05,,27.70018,-82.65252,,E-028,Estuarine,Enhancement,,,,,,,
,1988,Region 4,FL,Tampa Bay Estuary Program,Regatta Point,"planting of Spartina alterniflora, white mangroves",,,"planting of Spartina alterniflora, white mangroves",,,,,,,FDNR,,,,,,,,,,,,,,0.02,,27.51181,-82.57634,,E-029,Estuarine,Enhancement,,,,,,,
,1989,Region 4,FL,Tampa Bay Estuary Program,Alafia Bank Bird Island,planting of Spartina alterniflora,,,planting of Spartina alterniflora,,,,,,,Audubon of Florida,,,,,,,,,,,,,,0.2,,27.84976,-82.40566,,E-030,Estuarine,Enhancement,,,,,,,
,1989,Region 4,FL,Tampa Bay Estuary Program,Cabbagehead Bayou,cut berm breach to restore tidal flow to Cabbagehead Bayou,,,cut berm breach to restore tidal flow to Cabbagehead Bayou,,,,,,,SWFWMD-SWIM,,,,,,,,,,,,,,50,,27.99818,-82.61724,,R-002,Estuarine,Restoration,,,,,,,
,1989,Region 4,FL,Tampa Bay Estuary Program,Hendry Delta Fill,estuarine wetlands,,,"Substrate modification, planting",,,,,,,SWFWMD-SWIM,,,,,,,,,,,,,,3,,27.62546,-82.56553,,R-003,Estuarine,Restoration,,,,,,,
,1989,Region 4,FL,Tampa Bay Estuary Program,Maximo Park,"planting of Spartina alterniflora, red mangroves",,,"planting of Spartina alterniflora, red mangroves",,,,,,,FDNR,,,,,,,,,,,,,,0.05,,27.71004,-82.68367,,E-031,Estuarine,Enhancement,,,,,,,
,1990,Region 4,FL,Tampa Bay Estuary Program,Boca Ceiga (Milenum Park),"Excavation, planting of Spartina alterniflora",,,"Excavation, planting of Spartina alterniflora",,,,,,,FDNR,,,,,,,,,,,,,,2.5,,27.8325,-82.81256,,R-004,Estuarine,Restoration,,,,,,,
,1990,Region 4,FL,Tampa Bay Estuary Program,Delaney Pop-Off Canal,"Intertidal creek restoration, removed spoil banks",,,"Streambank grading, planting",,,,,,,FDEP,,,,,,,,,,,,,,10,,27.88512,-82.40251,,R-005,Estuarine,Restoration,,,,,,,
,1990,Region 4,FL,Tampa Bay Estuary Program,E.G. Simmons Park: Phase 1,restoration of open water and estuarine wetlands,,,"Substrate modification, planting",,,,,,,SWFWMD-SWIM,,,,,,,,,,,,,,14,,27.7448,-82.47223,,R-006,Estuarine,Restoration,,,,,,,
,1990,Region 4,FL,Tampa Bay Estuary Program,Green Key,planting of Spartina alterniflora,,,planting of Spartina alterniflora,,,,,,,Audubon of Florida,,,,,,,,,,,,,,0.03,,27.81831,-82.39918,,E-032,Estuarine,Enhancement,,,,,,,
,1990,Region 4,FL,Tampa Bay Estuary Program,Joe's Creek Restoration: Phase 1,"Rotary ditching, exotic removal, clearing and planting of Spartina alterniflora",,,"Excavation, Invasive Removal – Vegetation, Planting of Spartina alterniflora",,,,,,,FDER,,,,,,,,,,,,,,4.61,,27.83834,-82.75289,,R-007,Estuarine,Restoration,,,,,,,
,1990,Region 4,FL,Tampa Bay Estuary Program,Polanis Park,planting of Spartina alterniflora,,,"Excavation, grading, planting of Spartina alterniflora, removal of invasives",,,,,,,FDNR,,,,,,,,,,,,,,3.3,,27.89221,-82.5403,,R-008,Estuarine,Restoration,,,,,,,
,1990,Region 4,FL,Tampa Bay Estuary Program,South Bayshore Boulevard,planting of Spartina alterniflora,,,planting of Spartina alterniflora,,,,,,,SWFWMD-SWIM,,,,,,,,,,,,,,1.5,,27.87472,-82.48678,,E-033,Estuarine,Enhancement,,,,,,,
,1990,Region 4,FL,Tampa Bay Estuary Program,Terra Ceia Bird Key - Nina Griffith Washburn Bird Sanctuary,planting of Spartina alterniflora,,,planting of Spartina alterniflora,,,,,,,Audubon of Florida,,,,,,,,,,,,,,0.1,,27.55233,-82.60012,,E-034,Estuarine,Enhancement,,,,,,,
,1990,Region 4,FL,Tampa Bay Estuary Program,Whiskey Stump Key,"planting of Spartina alterniflora, 2,000 units",,,planting of Spartina alterniflora,,,,,,,Audubon of Florida,,,,,,,,,,,,,,0.5,,27.81302,-82.40247,,E-115,Estuarine,Enhancement,,,,,,,
,1991,Region 4,FL,Tampa Bay Estuary Program,Foch Lake,"filling to shallow depth, dredged tidal channels, exotic removal",,,filling to shallow depth,,,,,,,FDER,,,,,,,,,,,,,,3.9,,27.82653,-82.62078,,R-009,Estuarine,Restoration,,,,,,,
,1991,Region 4,FL,Tampa Bay Estuary Program,Joe's Creek Restoration: Phase 2,"exotic removal, clearing and planting of Spartina alterniflora",,,"Regrading, Invasive Removal – Vegetation, Planting of Spartina alterniflora",,,,,,,FDER,,,,,,,,,,,,,,6.06,,27.83834,-82.75289,,R-010,Estuarine,Restoration,,,,,,,
,1991,Region 4,FL,Tampa Bay Estuary Program,Mangrove Bay: Phase 1,low salinity open water estuarine and wetlands and uplands,,,"Substrate modification, planting",,,,,,,SWFWMD-SWIM,,,,,,,,,,,,,,13.5,,27.84259,-82.62981,,R-011,Estuarine,Restoration,,,,,,,
,1991,Region 4,FL,Tampa Bay Estuary Program,McKay Bay Northeast,low salinity esturaine wetlands and uplands,,,"Substrate modification, planting",,,,116775,,,SWFWMD-SWIM,City of Tampa,,,,,,,,,,,,,4,,27.95212,-82.4114,,R-012,Estuarine,Restoration,,,,,,,
,1992,Region 4,FL,Tampa Bay Estuary Program,Boca Ciega: Phase 1,low salinity open water and estuarine and freshwater wetlands,,,"Substrate modification, planting",,,,,,,SWFWMD-SWIM,,,,,,,,,,,,,,3.5,,27.8325,-82.81256,,R-013,Mix (estuarine and freshwater),Restoration,,,,,,,
,1992,Region 4,FL,Tampa Bay Estuary Program,Gandy Park,Block planters with mangroves at shoreline,,,,,,,0,,,Tampa Bay Estuary Program,,,,,,,,,,,,,,,,27.89038,-82.53945,100,SEP-001,Estuarine,Restoration,,,,,,,
,1992,Region 4,FL,Tampa Bay Estuary Program,Joe's Creek Restoration: Phase 3,"exotic removal, clearing and planting of Spartina alterniflora",,,"Invasive Removal – Vegetation, Planting of Spartina alterniflora",,,,,,,FDER,,,,,,,,,,,,,,1.83,,27.83834,-82.75289,,R-014,Estuarine,Restoration,,,,,,,
,1992,Region 4,FL,Tampa Bay Estuary Program,Lake Tarpon Outfall Canal: Phase 1,estuarine/low salinity wetlands,,,"Substrate modification, planting of Spartina",,,,2000,,,SWFWMD-SWIM,Volunteers,,,,,,,,,,,,,1,,28.05315,-82.70892,,R-015,Estuarine,Restoration,,,,,,,
,1992,Region 4,FL,Tampa Bay Estuary Program,Little Bayou Habitat Restoration Project: Phase 1,Restoration of tidal creek,,,"Excavation, planting",,,,,,,SWFWMD-SWIM,,,,,,,,,,,,,,3,,27.71901,-82.63769,,R-016,Estuarine,Restoration,,,,,,,
